cpu percent, memory percent
0.0,4.53600883484
1.4,4.53622341156
1.4,4.53643798828
1.3,4.53667640686
1.3,4.53681945801
1.4,4.53703403473
6.0,4.53836917877
11.0,4.53870296478
2.1,4.53844070435
1.4,4.53867912292
23.0,4.53841686249
24.5,4.53958511353
12.6,4.53882217407
3.8,4.5393705368
5.7,4.54246997833
20.9,4.55803871155
37.0,5.211186409
157.8,11.1503124237
102.4,13.8709783554
95.5,15.2730703354
181.6,19.8992967606
204.5,20.9420919418
201.5,22.115111351
201.8,22.8963375092
201.1,23.8847494125
202.3,24.4988203049
208.6,25.6240367889
201.8,26.193356514
201.9,26.6619920731
201.2,27.1461963654
202.1,27.6747941971
200.5,28.8317680359
200.9,29.2926549911
202.4,29.7097206116
201.8,30.1116943359
201.5,30.2549362183
201.9,30.2577972412
201.5,30.2597522736
202.3,30.2627325058
217.9,30.5781126022
202.3,30.9578418732
202.4,31.2492609024
201.6,31.679558754
201.3,32.0563793182
201.7,32.3469877243
201.4,33.8252544403
202.5,34.1536045074
201.2,34.4269514084
202.0,34.8831892014
201.6,35.1681470871
201.8,35.3092908859
201.4,35.3198766708
201.4,35.3227853775
201.8,35.3182315826
202.4,35.319685936
201.2,35.3233575821
225.0,35.4708433151
201.7,35.7441663742
201.8,36.0334157944
200.7,36.3077640533
202.6,36.5800619125
201.3,36.8534326553
201.6,37.1265888214
201.4,37.4010324478
202.6,37.6574039459
201.4,37.930393219
202.4,38.2043361664
201.9,38.4724855423
201.3,38.7453079224
201.0,38.8615846634
201.6,38.8998985291
202.9,38.901925087
201.1,38.9041423798
202.2,38.9056682587
200.7,38.9068841934
201.5,38.9078855515
203.3,38.9089345932
232.0,38.9746427536
204.7,39.1169071198
201.1,39.3352746964
202.3,39.4838094711
201.5,39.4795417786
203.3,39.4839525223
226.9,39.4557714462
201.9,39.4577026367
201.1,39.4594430923
231.2,39.4602060318
206.5,39.463186264
201.8,39.4647359848
202.1,39.4721746445
228.7,39.4670963287
201.7,39.4687414169
202.2,39.469909668
148.5,39.3412828445
3.6,39.341378212
3.5,39.3415927887
3.6,39.3418312073
3.8,39.3420696259
3.4,39.3422842026
3.5,39.3426179886
3.8,39.3429279327
3.6,39.343214035
3.7,39.3434286118
3.8,39.3436670303
3.6,39.3438100815
3.8,39.3439531326
3.4,39.3442392349
3.8,39.3444299698
3.5,39.3446922302
3.7,39.3449068069
3.7,39.3451452255
3.5,39.3453836441
3.6,39.345574379
3.7,39.3397331238
3.5,39.3399715424
3.2,39.3402338028
3.2,39.3404245377
3.2,39.3406391144
3.1,39.3409729004
