cpu percent, memory percent
0,4.536008835
1.4,4.536223412
1.4,4.536437988
1.3,4.536676407
1.3,4.536819458
1.4,4.537034035
6,4.538369179
11,4.538702965
2.1,4.538440704
1.4,4.538679123
23,4.538416862
24.5,4.539585114
12.6,4.538822174
3.8,4.539370537
5.7,4.542469978
20.9,4.558038712
37,5.211186409
157.8,11.15031242
102.4,13.87097836
95.5,15.27307034
181.6,19.89929676
204.5,20.94209194
201.5,22.11511135
201.8,22.89633751
201.1,23.88474941
202.3,24.4988203
208.6,25.62403679
201.8,26.19335651
201.9,26.66199207
201.2,27.14619637
202.1,27.6747942
200.5,28.83176804
200.9,29.29265499
202.4,29.70972061
201.8,30.11169434
201.5,30.25493622
201.9,30.25779724
201.5,30.25975227
202.3,30.26273251
217.9,30.5781126
202.3,30.95784187
202.4,31.2492609
201.6,31.67955875
201.3,32.05637932
201.7,32.34698772
201.4,33.82525444
202.5,34.15360451
201.2,34.42695141
202,34.8831892
201.6,35.16814709
201.8,35.30929089
201.4,35.31987667
201.4,35.32278538
201.8,35.31823158
202.4,35.31968594
201.2,35.32335758
225,35.47084332
201.7,35.74416637
201.8,36.03341579
200.7,36.30776405
202.6,36.58006191
201.3,36.85343266
201.6,37.12658882
201.4,37.40103245
202.6,37.65740395
201.4,37.93039322
202.4,38.20433617
201.9,38.47248554
201.3,38.74530792
201,38.86158466
201.6,38.89989853
202.9,38.90192509
201.1,38.90414238
202.2,38.90566826
200.7,38.90688419
201.5,38.90788555
203.3,38.90893459
232,38.97464275
204.7,39.11690712
201.1,39.3352747
202.3,39.48380947
201.5,39.47954178
203.3,39.48395252
226.9,39.45577145
201.9,39.45770264
201.1,39.45944309
231.2,39.46020603
206.5,39.46318626
201.8,39.46473598
202.1,39.47217464
228.7,39.46709633
201.7,39.46874142
202.2,39.46990967
148.5,39.34128284
3.6,39.34137821
3.5,39.34159279
3.6,39.34183121
3.8,39.34206963
3.4,39.3422842
3.5,39.34261799
3.8,39.34292793
3.6,39.34321404
3.7,39.34342861
3.8,39.34366703
3.6,39.34381008
3.8,39.34395313
3.4,39.34423923
3.8,39.34442997
3.5,39.34469223
3.7,39.34490681
3.7,39.34514523
3.5,39.34538364
3.6,39.34557438
3.7,39.33973312
3.5,39.33997154
3.2,39.3402338
3.2,39.34042454
3.2,39.34063911
3.1,39.3409729
