cpu percent, memory percent
0,1.238656044
1.2,1.238656044
0.1,1.238656044
0,1.238656044
0,1.238656044
0,1.238656044
0,1.238656044
8.4,1.241183281
4,1.241374016
2.6,1.241540909
2.5,1.241779327
71.5,1.812577248
105.8,2.697944641
106.5,3.614997864
109.1,4.514789581
108.3,5.423140526
109,6.323885918
107.9,7.244563103
109.9,8.137154579
112.9,9.060955048
113.2,9.99314785
110.6,10.91132164
111.9,11.83800697
115.9,12.75529861
114.3,13.66755962
99.6,14.47322369
100.4,14.47322369
99.6,14.47322369
100.6,14.47322369
99.9,14.47322369
99.5,14.47322369
100.5,14.47377205
99.9,14.47377205
99.5,14.47377205
45.7,14.48643208
3.7,14.48655128
4,14.48664665
3.9,14.4867897
3.9,14.48693275
3.8,14.48705196
2.5,14.48714733
2.5,14.48729038
2.5,14.48738575
2.5,14.48750496
2.6,14.48764801
2.5,14.48774338
2.6,14.48793411
2.3,14.4879818
2.5,14.48812485
2.5,14.4882679
2.5,14.48841095
2.7,14.488554
2.7,14.48895931
2.7,14.48907852
2.7,14.48919773
2.6,14.48931694
2.8,14.48943615
2.7,14.4895792
2.8,14.48967457
2.9,14.4898653
2.9,14.49000835
2.8,14.49010372
2.7,14.49029446
2.7,14.49041367
2.7,14.49053288
2.3,14.49069977
2.9,14.49081898
2.9,14.49100971
2.8,14.49115276
2.9,14.49127197
2.9,14.49146271
2.8,14.49167728
2.9,14.49179649
2.3,14.49189186
2.8,14.49205875
2.6,14.49220181
2.8,14.4923687
2.6,14.49251175
2.9,14.4926548
2.9,14.49284554
2.7,14.49298859
2.6,14.49313164
2.7,14.49332237
2.6,14.49344158
2.8,14.49365616
2.4,14.49384689
2.6,14.49394226
2.5,14.49410915
2.7,14.49422836
2.6,14.49439526
2.6,14.49460983
2.8,14.49475288
2.8,14.49494362
2.8,14.49511051
2.6,14.49525356
2.9,14.49542046
2.9,14.49556351
2.7,14.49570656
2.7,14.49587345
2.6,14.49604034
2.7,14.49620724
2.6,14.49637413
2.7,14.49649334
2.7,14.49666023
2.5,14.49677944
2.6,14.49692249
2.5,14.49713707
2.7,14.49728012
2.6,14.49739933
2.7,14.49754238
2.6,14.49770927
2.6,14.49782848
2.6,14.49797153
2.8,14.49813843
2.8,14.49830532
2.5,14.49847221
2.5,14.49866295
2.6,14.49875832
2.7,14.49890137
2.6,14.49904442
