cpu percent, memory percent
0,7.983899117
0.2,7.983899117
5.7,7.984566689
18.7,7.986044884
22,7.988476753
13.7,7.989692688
1.4,7.989692688
1.7,7.987880707
4.9,7.987928391
130.1,7.042074203
126.1,7.464575768
125.1,7.888031006
122,8.345842361
7,8.346295357
1.4,8.343052864
0.3,8.343052864
0.1,8.343052864
0.1,8.343052864
0.1,8.343052864
0.2,8.342933655
0.2,8.342981339
0.1,8.342981339
0.2,8.342981339
0.1,8.342981339
1.3,8.343434334
0.1,8.343434334
0.2,8.343291283
0.4,8.343434334
1.4,8.344888687
23.1,8.166575432
10.3,8.146548271
0.2,8.146548271
0.1,8.146548271
0.1,8.146548271
0.2,8.146548271
0.1,8.146548271
0.2,8.146548271
0.1,8.146548271
0.1,8.146548271
0.2,8.146476746
0.2,8.146476746
0.2,8.146476746
0.2,8.146476746
0.1,8.146476746
0.1,8.146476746
0.1,8.146476746
0.3,8.146476746
0.1,8.146476746
0.1,8.146476746
0,8.146476746
0.1,8.146476746
0.1,8.146476746
0.1,8.146476746
0.1,8.146476746
0.1,8.146476746
0.1,8.146476746
0.1,8.146476746
0.1,8.146476746
0.2,8.146476746
0.1,8.146524429
0.2,8.146572113
0.1,8.146572113
1.3,8.147287369
0.2,8.147287369
0.1,8.147287369
0.2,8.147287369
0.1,8.147287369
0.1,8.147287369
0,8.147287369
0.1,8.147287369
0.1,8.147239685
3.2,8.146715164
0.1,8.146715164
0.1,8.146715164
0.1,8.146715164
0.1,8.146762848
0,8.146762848
0.1,8.146762848
0.1,8.146762848
0.1,8.146762848
0.1,8.146762848
0.1,8.146715164
0.1,8.146715164
0.2,8.146715164
0.2,8.146739006
0.2,8.146739006
0.2,8.14678669
0.1,8.14678669
0.2,8.14678669
0.1,8.14678669
0.2,8.14678669
0.1,8.146691322
0,8.146691322
0.1,8.146691322
0.1,8.146691322
0.1,8.146691322
0.1,8.146691322
0,8.146691322
0.1,8.146739006
0.1,8.146739006
0.1,8.146739006
0.4,8.146739006
0.1,8.146739006
0,8.146691322
0,8.146691322
0.1,8.146691322
0.2,8.146691322
0,8.146691322
0.1,8.146691322
0.2,8.146691322
0.1,8.146691322
0.1,8.146739006
0,8.146739006
0.1,8.146739006
0,8.146739006
0.1,8.146739006
0.1,8.146691322
0,8.146691322
0.1,8.146691322
0.1,8.146739006
