cpu percent, memory percent
0.0,1.23865604401
1.2,1.23865604401
0.1,1.23865604401
0.0,1.23865604401
0.0,1.23865604401
0.0,1.23865604401
0.0,1.23865604401
8.4,1.24118328094
4.0,1.24137401581
2.6,1.24154090881
2.5,1.24177932739
71.5,1.81257724762
105.8,2.69794464111
106.5,3.61499786377
109.1,4.5147895813
108.3,5.42314052582
109.0,6.32388591766
107.9,7.24456310272
109.9,8.13715457916
112.9,9.06095504761
113.2,9.99314785004
110.6,10.91132164
111.9,11.8380069733
115.9,12.7552986145
114.3,13.6675596237
99.6,14.4732236862
100.4,14.4732236862
99.6,14.4732236862
100.6,14.4732236862
99.9,14.4732236862
99.5,14.4732236862
100.5,14.473772049
99.9,14.473772049
99.5,14.473772049
45.7,14.4864320755
3.7,14.4865512848
4.0,14.4866466522
3.9,14.4867897034
3.9,14.4869327545
3.8,14.4870519638
2.5,14.4871473312
2.5,14.4872903824
2.5,14.4873857498
2.5,14.4875049591
2.6,14.4876480103
2.5,14.4877433777
2.6,14.4879341125
2.3,14.4879817963
2.5,14.4881248474
2.5,14.4882678986
2.5,14.4884109497
2.7,14.4885540009
2.7,14.4889593124
2.7,14.4890785217
2.7,14.489197731
2.6,14.4893169403
2.8,14.4894361496
2.7,14.4895792007
2.8,14.4896745682
2.9,14.489865303
2.9,14.4900083542
2.8,14.4901037216
2.7,14.4902944565
2.7,14.4904136658
2.7,14.4905328751
2.3,14.4906997681
2.9,14.4908189774
2.9,14.4910097122
2.8,14.4911527634
2.9,14.4912719727
2.9,14.4914627075
2.8,14.4916772842
2.9,14.4917964935
2.3,14.491891861
2.8,14.492058754
2.6,14.4922018051
2.8,14.4923686981
2.6,14.4925117493
2.9,14.4926548004
2.9,14.4928455353
2.7,14.4929885864
2.6,14.4931316376
2.7,14.4933223724
2.6,14.4934415817
2.8,14.4936561584
2.4,14.4938468933
2.6,14.4939422607
2.5,14.4941091537
2.7,14.494228363
2.6,14.494395256
2.6,14.4946098328
2.8,14.4947528839
2.8,14.4949436188
2.8,14.4951105118
2.6,14.4952535629
2.9,14.4954204559
2.9,14.4955635071
2.7,14.4957065582
2.7,14.4958734512
2.6,14.4960403442
2.7,14.4962072372
2.6,14.4963741302
2.7,14.4964933395
2.7,14.4966602325
2.5,14.4967794418
2.6,14.496922493
2.5,14.4971370697
2.7,14.4972801208
2.6,14.4973993301
2.7,14.4975423813
2.6,14.4977092743
2.6,14.4978284836
2.6,14.4979715347
2.8,14.4981384277
2.8,14.4983053207
2.5,14.4984722137
2.5,14.4986629486
2.6,14.498758316
2.7,14.4989013672
2.6,14.4990444183
